ETL,Input,Output
POCDataScheduler,db_busyhour.tbl_tier6_clli_busyhour,db_sqs_poc.sqs_poc_data
t2_start_stop_processing,radius.data.tier1/start_stop_sessions,db_radius.t2_stop_session
t3_start_stop_processing,db_radius.t2_stop_session,db_radius.t3_stop_session
scorecard_daily_status,`it-shared`.scorecard.saafactfeaturedailyactv,ftrml-nana.db_scorecard.customers_account_status
Prioritization_ETL_run,db_sqs.fibersqsv1,db_prioritization.historical_7days_fsqs
priorotized_list_ETL_run,db_prioritization.historical_7days_fsqs,db_sqs.fsqs_service_priorities
sqs_pipelineETL_run_UC,db_sqs.fibersqs_featuresv1,db_sqs.fibersqsv1
SQSAnalysisScheduler,db_sqs.fibersqsv1,db_sqsanalysis.fibersqsanalysis
Tier-4-radius-product-speed-etl_UC,radius.data.tier3/daily_usage,db_radius_daily_usage.daily_usag
trouble_tickets_tier3_etl_UC,db_trouble_tickets.t2_tickets_reported,db_trouble_tickets.t3_trouble_tickets
tso_tier1_to_tier2_etl,tso.data.tier1/lnd_pega_table_dailydata,db_tso_calls.tbl_tsocalls_tier2
tso_tier2_to_tier3_etl,db_tso_calls.tbl_tsocalls_tier2,db_tso_calls.tbl_tsocalls_tier3
tso_tier3_to_tier4_etl,db_tso_calls.tbl_tsocalls_tier3,db_tso_calls.tbl_tsocalls_tier4
update_ouis,https://maclookup.app/downloads/csv-database/,default.oui_to_vendor
Wifi_24_Hour_Tier2_ETL_UC,db_cpe.tbl_tier2_eco_elementtsdata,db_wifi.wifi_24_hour
wifiSQS_ETLrun_24Hours,db_busyhour.tbl_tier6_clli_busyhour,db_sqs.wifisqs_96bins
wifiSQS_ETLrun_7_11pm,db_sqs.wifisqs_96bins,db_private_wifidev.wifisqs_7_11pm
wifiSQS_ETLrun_v3,db_private_wifidev.wifisqs_7_11pm,db_sqs.wifisqs_v1
churn-pipeline-technical-deactivations,"secret_name = ""prod/edw""",db_churn.technical_deactivations
DataPipeline_CSV_DynamoDB_Final3,ftrml-nana-dev/eero_csv_final,ftrml-nana-dev/eero_csv_final/
DataPipeline_CSV_DynamoDB_Final3,db_sqs.fibersqsv1,eero_csv_daily_dynamodb_final
DataPipeline_deltaLake ,ftrml-nana.db_empower.6months,ftrml-nana.db_empower.6months
ETL-edw-triad-usi-cill-daily-extract-uc,"the following Teradata views in the stg_triad_vw schema: SUBSCRIBERS_VW, SUBS_LOCATIONS_VW, LOCATIONS_VW, DEVICES_VW, DEVSTATES_VW, DEVTYPES_VW, DEVMODELS_VW",edw.triad.data.tier1/usi_to_clli_mapping
ETL-edw-triad-usi-clli-copper-daily-extract-uc,"stg_triad_vw.subs_phones_vw
stg_triad_vw.subscribers_vw
stg_triad_vw.subs_services_vw
stg_triad_vw.services_vw
stg_triad_vw.servclass_vw
stg_triad_vw.subs_locations_vw
stg_triad_vw.locations_vw
stg_triad_vw.devices_vw
stg_triad_vw.udfield_val_vw",edw.triad.data.tier1/usi_to_clli_copper_mapping
ETL-onprem-ont-light-levels,"SFTP Server: 10.243.34.38
P1 Directory: opt/fiber_ftp_files/NokiaOntLight/p1
P2 Directory: opt/fiber_ftp_files/NokiaOntLight/p2",pon.light.level.data.tier2/raw_data
ETL-radius-daily-usage_prd,"This ETL connects to a MySQL-based RADIUS database, and reads records from the daily_usage table for a specific date.",radius.data.tier3/daily_usage
etl_eco_t0tot1_uc,"This ETL generates SQS messages to upload ECO JSON files from an on-premises SFTP server to Tier-1 S3. Source server: eco-json-data-aws.sys.frontiernet.net, login via secret prd/ecojsonserver (username: ftr.ml, basedir: eco-json). Files are listed using SSH (paramiko), filtered for types like dailyparams, element-ts-data, etc. High-priority files are sent to a high-priority SQS queue, others to a low-priority queue. Final destination is a Tier-1 S3 bucket defined in config (t1s3bucket). Upload status is tracked via Delta Lake.",eco.data.tier1
ETL_edw_usi_to_copper_upgrade,edw_vwmc.FullOutputCopperUpgrade,db_edw.tbl_fulloutputcopperupgrade
ETL_edw_usi_to_fiber_upgrade,edw_vwmc.FullOutputFiberUpgrade,db_edw.tbl_fulloutputfiberupgrade
ETL_edw_usi_to_pon_type_UC,DW_ENDUSER_VW.DPI_F1F2_Pair,db_edw.tbl_pon_type
ETL_onprem_trouble_tickets_UC,"edw_vwmc.trouble_tickets_v, stg_dpi_vw.cssrvusi, stg_dpi_vw.csact",db_trouble_tickets.t2_tickets_reported
Pulling_CLLI11_SID_UC,"STG_TRIAD_VW.dslamnode_vw, STG_TRIAD_VW.ftthnode_vw",db_edw_triad.tid_sid_weeklyupdated
Pulling_lndPega_oracle_UC,Oracle source table: lnd_pega.fcsinteractioncases,tso.data.tier1/lnd_pega_table_dailydata
Radius_stops_data_tier1,"an on-prem server, server's information exist in ""radius-daily/dataproc_updated2024"" secret in the aws secret manager",radius.data.tier1/start_stop_sessions
NMARS_pon_utilization_data_tier1,"a rest api : ""http://nmars.corp.pvt/scripts/api/ponutil.php?type=csv&network=dailypon""",nmars.data.tier2/ponutildump
alarm tier1,"on-prem server, push model. data being sent to our aws sftp server: s-656560eda6e449bc9",alarms-ams.tier1
